date,signal_type,right,strike,confidence,confidence_tier,regime,spy_entry,spy_exit,entry_premium,exit_premium,pnl_per_contract,pnl_pct,holding_hours,vix,iv_rank,month
2025-10-16,PUT_SWEEP,P,651.0,0.8164879264665242,HIGH,RANGE_BOUND,656.899658203125,660.62841796875,6.27,3.05,-313.51,-50.0,24.0,25.309999465942383,30.468344627845546,2025-10
2025-10-17,CALL_SWEEP,C,659.0,0.7970313521657267,MEDIUM,RANGE_BOUND,660.62841796875,667.4892578125,8.72,11.08,236.01,27.06,48.0,20.780000686645508,18.811117152357074,2025-10
2025-10-20,CALL_SWEEP,C,674.0,0.8481796930720494,HIGH,TREND_UP,667.499267578125,664.0191040039062,4.2,2.24,-196.57,-46.78,48.0,18.229999542236328,12.249096972795865,2025-10
2025-10-21,CALL_SWEEP,C,672.0,0.8529116763641709,HIGH,TREND_UP,667.4892578125,667.9566650390625,4.83,3.79,-104.07,-21.55,48.0,17.8700008392334,11.32269787728941,2025-10
2025-10-22,CALL_SWEEP,C,663.0,0.847763987103501,HIGH,TREND_UP,664.0191040039062,673.4155883789062,7.64,12.24,460.22,60.24,48.0,18.600000381469727,13.201234966469858,2025-10
2025-10-23,CALL_SWEEP,C,676.0,0.8601441100980879,HIGH,TREND_UP,667.9566650390625,681.3603515625,3.37,8.41,336.73,100.0,48.0,17.299999237060547,9.855889901912171,2025-10
2025-10-24,CALL_SWEEP,C,671.0,0.8625373122607148,HIGH,TREND_UP,673.4155883789062,683.1700439453125,7.69,13.74,604.53,78.6,48.0,16.3700008392334,7.462687739285184,2025-10
2025-10-27,CALL_SWEEP,C,676.0,0.7940298517718746,MEDIUM,TREND_UP,681.3603515625,683.4981689453125,9.36,10.23,87.02,9.3,48.0,15.789999961853027,5.970148228125464,2025-10
2025-10-28,CALL_SWEEP,C,687.0,0.8536775870890667,HIGH,TREND_UP,683.1700439453125,675.98095703125,4.73,1.66,-236.36,-50.0,48.0,16.420000076293945,7.591352780582642,2025-10
2025-10-29,CALL_SWEEP,C,692.0,0.8324263240981095,HIGH,TREND_UP,683.4981689453125,675.98095703125,3.23,1.13,-161.61,-50.0,24.0,16.920000076293945,8.87802282658405,2025-10
2025-10-30,CALL_SWEEP,C,677.0,0.8011235331360245,HIGH,TREND_UP,675.98095703125,679.4711303710938,6.1,7.0,89.96,14.74,48.0,16.90999984741211,8.852288836673218,2025-10
2025-10-31,CALL_SWEEP,C,678.0,0.8219592001812351,HIGH,TREND_UP,678.1983642578125,671.4169921875,6.93,3.4,-346.49,-50.0,48.0,17.440000534057617,10.216160852407127,2025-10
2025-11-03,CALL_SWEEP,C,680.0,0.8358121337177137,HIGH,TREND_UP,679.4711303710938,673.7437133789062,6.47,3.24,-323.24,-49.93,48.0,17.170000076293945,9.521357849584755,2025-11
